"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"2 family dwelling","5","2023-09-07T15:46:39.000","2","5","202309076132","R-3","2023-09-08T04:14:49.000","replace extg kitchen cabinetss in 2nd floor. no structural work and interior work only.","Y","50000","Latona","10","St","","011","","2023-09-07T14:46:16.000","","2023-09-07T15:46:39.000","0","","5357","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bayview Hunters Point","R-3","otc alterations permit","2023-09-07T15:38:59.000","8","2023-09-07T00:00:00.000","94124","1677790180560","wood frame (5)","","N","50000","42","2 family dwelling","2","{""coordinates"":[-122.392808632,37.731747],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-07T14:13:48.000","2","5","202309076107","R-3,M,B","2023-09-08T04:14:49.000","in-kind siding replacement in back of the house.","Y","12000","Divisadero","5","St","","066","","2023-09-07T12:43:20.000","","2023-09-07T14:13:48.000","0","","1204","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Hayes Valley","R-3,M,B","otc alterations permit","2023-09-07T14:08:53.000","8","2023-09-07T00:00:00.000","94117","1677762493154","wood frame (5)","","N","12000","541","2 family dwelling","2","{""coordinates"":[-122.438040282,37.7745524],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T15:14:50.000","17","5","202309076122","R-2","2023-09-08T04:14:49.000","in kind bathroom remodel","Y","30000","Pacific","2","Av","","026","","2023-09-07T14:00:51.000","","2023-09-07T15:14:50.000","0","","0575","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-09-07T15:04:53.000","8","2023-09-07T00:00:00.000","94109","1677778303812","wood frame (5)","302","N","30000","1770","apartments","17","{""coordinates"":[-122.424508321,37.794926944],""type"":""Point""}","","issued","wood frame (5)"
"manufacturing","2","2023-09-07T12:32:23.000","","2","202309076103","B,M,F-2,A-2","2023-09-08T04:14:49.000","verizon will install 9 new antennas in 3 sectors, 12 new radio units in 3 sectors, all sectors will be screened by frp to match bldg, 4 new surge suppressors, 1 meter panel in (e) electrical rm, 1 step down transformer, 1 ppc distribution panel, 3 new hybrid cables 1 per sector, 1 gen plug, 1 gps","Y","0","03rd","10","St","","001","","2023-09-07T12:32:23.000","","","2","","4173","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Potrero Hill","B,M,F-2,A-2","otc alterations permit","2023-09-07T13:19:36.000","8","2023-09-07T00:00:00.000","94107","1677758373746","constr type 2","","N","330000","2565","manufacturing","","{""coordinates"":[-122.387648965,37.756717319],""type"":""Point""}","","filed","constr type 2"
"2 family dwelling","5","2023-09-07T08:29:53.000","2","5","202309076036","R-3","2023-09-08T04:14:49.000","repair front entry stairs. remove two treads and replace in kind. dry rot repairs less than 50%.","Y","4000","Ashbury","5","St","","033","","2023-09-07T07:44:22.000","","2023-09-07T08:29:53.000","0","","1255","in-house","eas_address_point","","3","3","2023-09-07T23:55:00.000","Haight Ashbury","R-3","otc alterations permit","2023-09-07T08:28:46.000","8","2023-09-07T00:00:00.000","94117","1677687241147","wood frame (5)","","N","4000","734","2 family dwelling","2","{""coordinates"":[-122.44626,37.76813],""type"":""Point""}","","issued","wood frame (5)"
"apartments","3","2023-09-07T08:48:53.000","4","3","202309076035","R-2","2023-09-08T04:14:49.000","maintence of existing exterior walls, stucco, waterproof, roof maintenance all repairs to be done same and in kind of existing. not street visible.","Y","35000","Seal Cove","10","Tr","","008","","2023-09-07T07:43:10.000","","2023-09-07T08:48:53.000","0","","4991A","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Bayview Hunters Point","R-2","otc alterations permit","2023-09-07T08:34:30.000","8","2023-09-07T00:00:00.000","94134","1677685500874","constr type 3","","N","35000","100","apartments","4","{""coordinates"":[-122.394575128,37.711542063],""type"":""Point""}","","issued","constr type 3"
"retail sales","5","2023-09-07T14:23:57.000","0","5","202309076126","B,M","2023-09-08T04:14:49.000","core and shell alterations to include: merge 2 e commercial spaces to become 1. voluntary seismic upgrades. new interior support areas and storage. new accessible restroom. new accessible dbl entry doors","Y","0","West Portal","7","Av","","027A","","2023-09-07T14:23:57.000","","","2","","2989B","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","B,M","otc alterations permit","2023-09-07T14:55:14.000","8","2023-09-07T00:00:00.000","94127","1677783149116","wood frame (5)","","N","108000","163","retail sales","0","{""coordinates"":[-122.467433523,37.738953049],""type"":""Point""}","","filed","wood frame (5)"
"school","5","2023-09-07T11:18:04.000","0","5","202309076062","E","2023-09-08T04:14:49.000","emergency facu replacement. no other changes.","Y","7895","Dolores","8","St","","057","","2023-09-07T09:19:32.000","Y","2023-09-07T11:18:04.000","2","","3567","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","E","otc alterations permit","2023-09-07T11:14:17.000","8","2023-09-07T00:00:00.000","94110","1677716497018","wood frame (5)","","N","7895","333","school","0","{""coordinates"":[-122.425053392,37.76398816],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T08:57:07.000","24","5","202309076059","R-2","2023-09-08T04:14:49.000","system replacement and new lf horns to meet sffc 2022 sec 1103.7.6.1. fire alarm.","Y","0","Ellis","2","St","","031","","2023-09-07T08:57:07.000","Y","","2","","0735","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Western Addition","R-2","otc alterations permit","2023-09-07T09:55:42.000","8","2023-09-07T00:00:00.000","94109","1677713400250","wood frame (5)","0","N","39800","1155","apartments","24","{""coordinates"":[-122.425154916,37.783011797],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T09:08:22.000","1","5","202309076043","R-3","2023-09-08T04:14:49.000","reroofing","Y","18000","San Benito","7","Wy","","029","","2023-09-07T08:05:36.000","","2023-09-07T09:08:22.000","0","","3267","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T09:04:18.000","8","2023-09-07T00:00:00.000","94127","1677695155509","wood frame (5)","","N","18000","351","1 family dwelling","1","{""coordinates"":[-122.466966957,37.730107905],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-09-07T12:15:50.000","","1","202309076097","B,A-2","2023-09-08T04:14:49.000","fire alarm modifications for tenant improvment on flr 15, 16, 17 to include:  remove 4 notification applicances, add 1 notification appliance, add 1 smoke detector, add 1 control decay","Y","0","Mission","6","St","","017","","2023-09-07T12:15:50.000","Y","","2","","3710","in-house","parcel_centroid","","30","30","2023-09-07T23:55:00.000","Financial District/South Beach","B,A-2","otc alterations permit","2023-09-07T13:09:51.000","8","2023-09-07T00:00:00.000","94105","1677752164586","constr type 1","","N","3000","350","office","","{""coordinates"":[-122.396685875,37.790885477],""type"":""Point""}","","filed","constr type 1"
"1 family dwelling","5","2023-09-07T11:23:56.000","1","5","202309076084","R-3","2023-09-08T04:14:49.000","1st floor: add 2 bed room, 1 full bath a nd media room with wetbar. 2nd floor: add 1 new bedroom and relocate kitchen","Y","75000","Ottawa","11","Av","","003","","2023-09-07T11:23:56.000","","","2","","7040B","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Mission","R-3","otc alterations permit","2023-09-07T13:20:04.000","8","2023-09-07T00:00:00.000","94112","1677738218632","wood frame (5)","","N","75000","234","1 family dwelling","1","{""coordinates"":[-122.447405915,37.716851118],""type"":""Point""}","","filed","wood frame (5)"
"office","1","2023-09-07T13:53:10.000","","1","202309076117","B","2023-09-08T04:14:49.000","22/f: interior demo of existing office partitions. no exterior work to be done.","Y","100000","California","3","St","","007","","2023-09-07T13:53:10.000","","","2","","0240","in-house","parcel_centroid","","23","23","2023-09-07T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-09-07T14:25:39.000","8","2023-09-07T00:00:00.000","94104","1677773296596","constr type 1","0","N","100000","580","office","","{""coordinates"":[-122.404139573,37.792967593],""type"":""Point""}","","filed","constr type 1"
"2 family dwelling","5","2023-09-07T15:42:12.000","2","5","202309076104","R-3","2023-09-08T04:14:49.000","reroofing","Y","18900","11th","1","Av","","024","","2023-09-07T12:36:57.000","","2023-09-07T15:42:12.000","0","","1423","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Inner Richmond","R-3","otc alterations permit","2023-09-07T15:38:59.000","8","2023-09-07T00:00:00.000","94118","1677759242307","wood frame (5)","","N","18900","282","2 family dwelling","2","{""coordinates"":[-122.469467341,37.78306672],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T12:51:19.000","4","5","202309076110","R-2","2023-09-08T04:14:49.000","foundation strengthening","Y","0","Arguello","2","Bl","","025","","2023-09-07T12:51:19.000","","","2","","1014","in-house","eas_address_point","","3","3","2023-09-07T23:55:00.000","Presidio Heights","R-2","otc alterations permit","2023-09-07T12:52:08.000","8","2023-09-07T00:00:00.000","94118","1677765277564","wood frame (5)","","N","15000","192","apartments","4","{""coordinates"":[-122.45891,37.786877],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T09:25:57.000","1","5","202309076058","R-3","2023-09-08T04:14:49.000","reroofing","Y","10000","Thrift","11","St","","009","","2023-09-07T08:56:02.000","","2023-09-07T09:25:57.000","0","","7052","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","R-3","otc alterations permit","2023-09-07T09:24:43.000","8","2023-09-07T00:00:00.000","94112","1677712219263","wood frame (5)","","N","10000","94","1 family dwelling","1","{""coordinates"":[-122.455778383,37.717731967],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-07T08:34:07.000","2","5","202309076052","R-3","2023-09-08T04:14:49.000","revision to pa# 202307031376; to provide voluntary strengthening to the (e) structure","","0","Mississippi","10","St","","035","","2023-09-07T08:34:07.000","","","2","","4103","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Potrero Hill","R-3","otc alterations permit","2023-09-07T09:05:38.000","8","2023-09-07T00:00:00.000","94107","1677706388549","wood frame (5)","","N","2500","617","2 family dwelling","2","{""coordinates"":[-122.393904073,37.758742667],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T13:54:29.000","1","5","202309076086","R-3","2023-09-08T04:14:49.000","new stucco entire building in kind","Y","30720","Fairfield","7","Wy","","001","","2023-09-07T11:27:13.000","","2023-09-07T13:54:29.000","0","","3279","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T13:49:28.000","8","2023-09-07T00:00:00.000","94127","1677740155781","wood frame (5)","","N","12000","75","1 family dwelling","1","{""coordinates"":[-122.463819301,37.727823821],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T11:27:41.000","3","5","202309076087","R-2","2023-09-08T04:14:49.000","unit #2: remodel existing 1548 sqft unit residence in a 3-unit building.","Y","0","Jackson","2","St","","060","","2023-09-07T11:27:41.000","","","2","","0976","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-09-07T11:29:15.000","8","2023-09-07T00:00:00.000","94115","167774285750","wood frame (5)","2","N","85000","2998","apartments","3","{""coordinates"":[-122.444331137,37.791379375],""type"":""Point""}","","filed","wood frame (5)"
"2 family dwelling","5","2023-09-07T15:46:39.000","2","5","202309076132","R-3","2023-09-08T04:14:49.000","replace extg kitchen cabinetss in 2nd floor. no structural work and interior work only.","","50000","Latona","10","St","","011","","2023-09-07T14:46:16.000","","2023-09-07T15:46:39.000","0","","5357","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Bayview Hunters Point","R-3","otc alterations permit","2023-09-07T15:38:59.000","8","2023-09-07T00:00:00.000","94124","1677791521375","wood frame (5)","","N","50000","44","2 family dwelling","2","{""coordinates"":[-122.392808632,37.731747],""type"":""Point""}","","issued","wood frame (5)"
"office","1","2023-09-07T10:10:36.000","","1","202309076070","B,A-2,L","2023-09-08T04:14:49.000","fl6: change of occ to l. this proj consist of int built-out on 6th fl of (e) 6-story bldg to create tenant ste w/ office and lab. scope incl new int partitions, doors, windows, ceiling, casework, flooring, and finishes w/ associated mep.","Y","","Terry A Francois","6","Bl","","011","","2023-09-07T10:10:36.000","","","1","","8721","in-house","parcel_centroid","","6","6","2023-09-07T23:55:00.000","Mission Bay","B,A-2","additions alterations or repairs","2023-09-07T10:15:32.000","3","2023-09-07T00:00:00.000","94158","1677723509951","constr type 1","","N","13875000","550","office","","{""coordinates"":[-122.386979776,37.76943352],""type"":""Point""}","","filed","constr type 1"
"2 family dwelling","5","2023-09-07T15:35:23.000","2","5","202309076138","R-3","2023-09-08T04:14:49.000","comply with internal dbi audit nov #202303040: replace (e) rear stairway in-kind.","Y","0","Bryant","9","St","","011","","2023-09-07T15:35:23.000","","","2","","4022","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Mission","R-3","otc alterations permit","2023-09-07T15:56:02.000","8","2023-09-07T00:00:00.000","94110","1677799168813","wood frame (5)","","N","2000","2080","2 family dwelling","2","{""coordinates"":[-122.410290559,37.760731395],""type"":""Point""}","","filed","wood frame (5)"
"1 family dwelling","5","2023-09-07T13:17:04.000","1","5","202309076089","R-3","2023-09-08T04:14:49.000","kitchen & bathroom remodel in-kind. no removal of walls (approx 300 sf)","Y","90000","University","9","St","","035","","2023-09-07T11:29:58.000","","2023-09-07T13:17:04.000","0","","5934","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Portola","R-3","otc alterations permit","2023-09-07T13:09:30.000","8","2023-09-07T00:00:00.000","94134","1677743191696","wood frame (5)","","N","35000","107","1 family dwelling","1","{""coordinates"":[-122.414646384,37.728540022],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T10:52:50.000","1","5","202309076063","R-3","2023-09-08T04:14:49.000","reroofing","Y","16000","Ulloa","7","St","","031","","2023-09-07T09:25:09.000","","2023-09-07T10:52:50.000","0","","2902","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T10:50:07.000","8","2023-09-07T00:00:00.000","94127","1677717146868","wood frame (5)","","N","16000","123","1 family dwelling","1","{""coordinates"":[-122.454876431,37.744119854],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-07T11:01:33.000","2","5","202309076066","R-3","2023-09-08T04:14:49.000","old shingles will be removed from the front wall and replaced with new ones. the t-i-ii 4x8 siding in the back wall will be repaired.","Y","25000","47th","1","Av","","034","","2023-09-07T09:53:32.000","","2023-09-07T11:01:33.000","0","","1598","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-09-07T10:57:59.000","8","2023-09-07T00:00:00.000","94121","1677720106081","wood frame (5)","","N","25000","744","2 family dwelling","2","{""coordinates"":[-122.507635448,37.774380622],""type"":""Point""}","","issued","wood frame (5)"
